Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
39,39,2018-01-04,@,HOU,W,124,114,,48,87,.552,13,30,.433,35,57,.614,.626,15,20,.750,6,39,45,35,6,6,13,18,42,89,.472,17,50,.340,25,39,.641,.567,13,22,.591,6,32,38,20,7,3,10,17
40,40,2018-01-06,@,LAC,W,121,105,,39,94,.415,13,39,.333,26,55,.473,.484,30,37,.811,14,40,54,31,13,10,17,25,39,91,.429,3,11,.273,36,80,.450,.445,24,30,.800,10,35,45,19,10,7,18,25
41,41,2018-01-08,,DEN,W,124,114,,48,85,.565,13,30,.433,35,55,.636,.641,15,21,.714,10,33,43,33,7,10,16,15,47,95,.495,8,19,.421,39,76,.513,.537,12,16,.750,13,26,39,30,8,3,11,16
42,42,2018-01-10,,LAC,L,106,125,,38,79,.481,8,23,.348,30,56,.536,.532,22,26,.846,4,29,33,26,9,6,16,21,46,94,.489,11,24,.458,35,70,.500,.548,22,28,.786,11,35,46,24,9,3,14,19
43,43,2018-01-12,@,MIL,W,108,94,,44,79,.557,5,15,.333,39,64,.609,.589,15,18,.833,10,33,43,28,7,3,11,13,36,85,.424,11,28,.393,25,57,.439,.488,11,12,.917,8,25,33,21,9,6,12,20
44,44,2018-01-13,@,TOR,W,127,125,,47,81,.580,9,24,.375,38,57,.667,.636,24,28,.857,3,27,30,28,4,3,7,20,45,93,.484,8,25,.320,37,68,.544,.527,27,32,.844,14,30,44,22,3,2,10,23
45,45,2018-01-15,@,CLE,W,118,108,,41,85,.482,12,32,.375,29,53,.547,.553,24,30,.800,13,35,48,33,8,6,17,23,43,94,.457,7,28,.250,36,66,.545,.495,15,22,.682,12,31,43,26,9,5,15,22
46,46,2018-01-17,@,CHI,W,119,112,,42,84,.500,13,33,.394,29,51,.569,.577,22,25,.880,5,44,49,24,5,3,15,16,45,106,.425,10,39,.256,35,67,.522,.472,12,13,.923,14,35,49,24,10,2,11,19
47,47,2018-01-20,@,HOU,L,108,116,,40,82,.488,17,36,.472,23,46,.500,.591,11,15,.733,4,29,33,31,8,10,19,24,41,87,.471,14,37,.378,27,50,.540,.552,20,29,.690,12,34,46,19,14,3,16,18
48,48,2018-01-23,,NYK,W,123,112,,46,83,.554,13,30,.433,33,53,.623,.633,18,20,.900,3,33,36,40,6,3,12,16,43,83,.518,9,22,.409,34,61,.557,.572,17,19,.895,6,32,38,28,4,0,14,20
49,49,2018-01-25,,MIN,W,126,113,,48,89,.539,21,37,.568,27,52,.519,.657,9,15,.600,11,36,47,37,9,8,16,17,46,101,.455,6,20,.300,40,81,.494,.485,15,18,.833,13,30,43,25,9,3,10,15
50,50,2018-01-27,,BOS,W,109,105,,38,84,.452,10,27,.370,28,57,.491,.512,23,26,.885,10,33,43,19,9,9,12,17,37,85,.435,14,28,.500,23,57,.404,.518,17,24,.708,11,34,45,17,6,2,16,23
51,51,2018-01-30,@,UTA,L,99,129,,39,85,.459,5,25,.200,34,60,.567,.488,16,21,.762,11,26,37,27,10,7,20,16,53,91,.582,14,28,.500,39,63,.619,.659,9,14,.643,7,35,42,25,16,3,12,22
52,52,2018-02-02,@,SAC,W,119,104,,44,80,.550,17,33,.515,27,47,.574,.656,14,16,.875,7,44,51,25,8,4,25,19,42,95,.442,10,25,.400,32,70,.457,.495,10,15,.667,6,27,33,22,16,3,13,14
53,53,2018-02-03,@,DEN,L,108,115,,43,86,.500,8,31,.258,35,55,.636,.547,14,23,.609,11,31,42,28,9,10,14,23,39,91,.429,12,29,.414,27,62,.435,.495,25,29,.862,16,32,48,28,7,0,16,17
54,54,2018-02-06,,OKC,L,105,125,,37,76,.487,8,28,.286,29,48,.604,.539,23,31,.742,10,35,45,27,7,8,25,24,44,93,.473,12,31,.387,32,62,.516,.538,25,33,.758,10,30,40,17,14,3,13,28
