Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
36,36,2010-01-08,@,POR,L,98,107,,41,95,.432,11,28,.393,30,67,.448,.489,5,10,.500,17,21,38,17,5,3,8,24,35,69,.507,5,15,.333,30,54,.556,.543,32,39,.821,9,33,42,22,3,3,8,15
37,37,2010-01-10,,MIL,W,95,77,,32,80,.400,6,14,.429,26,66,.394,.438,25,30,.833,9,52,61,21,5,7,13,20,31,91,.341,6,19,.316,25,72,.347,.374,9,13,.692,8,35,43,18,9,1,10,23
38,38,2010-01-12,@,SAS,L,85,105,,34,78,.436,2,7,.286,32,71,.451,.449,15,16,.938,9,28,37,13,7,4,14,13,47,82,.573,7,16,.438,40,66,.606,.616,4,11,.364,7,33,40,29,7,6,12,15
39,39,2010-01-13,@,DAL,W,100,95,,39,80,.488,3,14,.214,36,66,.545,.506,19,22,.864,11,38,49,16,2,1,11,14,36,85,.424,8,24,.333,28,61,.459,.471,15,21,.714,13,31,44,24,4,4,6,18
40,40,2010-01-15,,LAC,W,126,86,,41,82,.500,10,22,.455,31,60,.517,.561,34,41,.829,7,33,40,28,7,7,7,18,31,77,.403,5,20,.250,26,57,.456,.435,19,25,.760,7,31,38,25,3,6,19,25
41,41,2010-01-18,,ORL,W,98,92,,38,89,.427,6,18,.333,32,71,.451,.461,16,22,.727,10,34,44,18,8,2,7,16,36,82,.439,11,33,.333,25,49,.510,.506,9,15,.600,9,36,45,23,2,5,13,24
42,42,2010-01-21,@,CLE,L,87,93,,32,83,.386,8,23,.348,24,60,.400,.434,15,24,.625,15,28,43,18,6,3,8,21,34,71,.479,6,18,.333,28,53,.528,.521,19,25,.760,6,42,48,21,3,4,13,22
43,43,2010-01-22,@,NYK,W,115,105,,39,78,.500,12,23,.522,27,55,.491,.577,25,31,.806,8,32,40,23,2,7,9,18,41,91,.451,6,22,.273,35,69,.507,.484,17,21,.810,13,29,42,23,2,2,8,24
44,44,2010-01-24,@,TOR,L,105,106,,45,98,.459,6,19,.316,39,79,.494,.490,9,9,1.000,16,35,51,19,4,6,13,18,39,82,.476,7,18,.389,32,64,.500,.518,21,26,.808,10,29,39,18,4,5,11,13
45,45,2010-01-26,@,WAS,W,115,103,,44,75,.587,9,22,.409,35,53,.660,.647,18,22,.818,4,29,33,23,6,5,9,13,43,87,.494,7,20,.350,36,67,.537,.534,10,14,.714,15,28,43,18,5,0,12,20
