Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
64,64,2011-03-09,@,NOH,L,92,93,,31,69,.449,6,21,.286,25,48,.521,.493,24,32,.750,4,27,31,22,4,5,11,23,34,78,.436,4,12,.333,30,66,.455,.462,21,29,.724,9,35,44,13,5,3,9,27
65,65,2011-03-10,,NYK,W,127,109,,48,94,.511,11,24,.458,37,70,.529,.569,20,24,.833,17,30,47,26,9,5,12,25,34,80,.425,6,18,.333,28,62,.452,.463,35,37,.946,11,26,37,19,6,6,12,22
66,66,2011-03-12,,LAL,L,91,96,,37,86,.430,4,16,.250,33,70,.471,.453,13,15,.867,15,33,48,21,6,9,13,20,37,83,.446,5,13,.385,32,70,.457,.476,17,27,.630,12,31,43,20,7,2,9,17
67,67,2011-03-15,@,POR,L,101,104,,40,67,.597,9,21,.429,31,46,.674,.664,12,13,.923,6,27,33,30,5,4,15,17,40,85,.471,6,14,.429,34,71,.479,.506,18,23,.783,15,19,34,19,8,5,7,15
68,68,2011-03-16,@,GSW,W,112,106,,40,77,.519,8,19,.421,32,58,.552,.571,24,27,.889,10,31,41,28,6,1,14,16,42,82,.512,9,24,.375,33,58,.569,.567,13,19,.684,7,24,31,24,12,3,13,18
69,69,2011-03-18,,SAS,L,91,97,,36,73,.493,6,23,.261,30,50,.600,.534,13,17,.765,7,34,41,20,3,5,19,21,36,83,.434,7,17,.412,29,66,.439,.476,18,19,.947,9,27,36,15,14,6,13,22
70,70,2011-03-20,,GSW,W,101,73,,34,79,.430,12,33,.364,22,46,.478,.506,21,25,.840,11,40,51,24,10,3,16,22,27,77,.351,5,20,.250,22,57,.386,.383,14,20,.700,6,33,39,16,7,4,18,19
71,71,2011-03-24,,MIN,W,104,96,,42,85,.494,8,27,.296,34,58,.586,.541,12,15,.800,10,33,43,31,10,6,16,17,39,80,.488,8,18,.444,31,62,.500,.538,10,12,.833,7,31,38,21,5,3,18,19
72,72,2011-03-26,@,UTA,W,94,77,,30,66,.455,8,19,.421,22,47,.468,.515,26,32,.813,5,35,40,20,9,6,19,26,32,76,.421,3,12,.250,29,64,.453,.441,10,17,.588,9,22,31,18,7,5,19,25
73,73,2011-03-27,@,PHO,W,91,83,,32,84,.381,10,26,.385,22,58,.379,.440,17,21,.810,16,31,47,20,8,3,15,18,34,80,.425,1,16,.063,33,64,.516,.431,14,23,.609,12,34,46,22,6,8,16,22
74,74,2011-03-30,@,LAC,W,106,100,,41,85,.482,9,21,.429,32,64,.500,.535,15,26,.577,6,25,31,30,11,5,11,19,35,75,.467,5,24,.208,30,51,.588,.500,25,31,.806,11,36,47,22,5,5,18,21
75,75,2011-03-31,@,LAL,L,82,110,,30,83,.361,6,26,.231,24,57,.421,.398,16,23,.696,11,36,47,18,3,4,13,27,38,85,.447,6,16,.375,32,69,.464,.482,28,39,.718,12,40,52,23,8,3,7,19
76,76,2011-04-02,@,GSW,L,92,99,,37,90,.411,5,25,.200,32,65,.492,.439,13,20,.650,11,32,43,25,5,4,14,21,35,78,.449,7,21,.333,28,57,.491,.494,22,24,.917,7,36,43,22,4,6,14,21
77,77,2011-04-03,@,POR,L,96,104,,34,70,.486,9,24,.375,25,46,.543,.550,19,26,.731,5,28,33,21,5,2,13,21,39,73,.534,5,15,.333,34,58,.586,.568,21,25,.840,4,28,32,20,10,0,11,20
78,78,2011-04-06,,DEN,L,96,104,,39,80,.488,5,22,.227,34,58,.586,.519,13,20,.650,15,30,45,20,9,9,17,18,41,86,.477,8,23,.348,33,63,.524,.523,14,18,.778,12,28,40,23,9,4,14,17
79,79,2011-04-08,,LAC,W,107,96,,43,85,.506,4,15,.267,39,70,.557,.529,17,28,.607,15,27,42,25,13,4,18,19,38,76,.500,6,18,.333,32,58,.552,.539,14,20,.700,9,27,36,22,12,6,22,23
80,80,2011-04-10,,PHO,W,115,90,,45,89,.506,11,27,.407,34,62,.548,.567,14,18,.778,18,33,51,29,7,4,14,23,35,82,.427,2,20,.100,33,62,.532,.439,18,33,.545,14,23,37,19,5,1,14,18
81,81,2011-04-11,@,HOU,W,98,91,OT,38,83,.458,4,17,.235,34,66,.515,.482,18,20,.900,6,43,49,21,9,5,20,20,35,96,.365,8,27,.296,27,69,.391,.406,13,16,.813,17,35,52,24,11,1,17,19
82,82,2011-04-13,,NOH,W,121,89,,40,73,.548,13,28,.464,27,45,.600,.637,28,34,.824,6,36,42,32,7,1,14,17,34,79,.430,6,14,.429,28,65,.431,.468,15,17,.882,5,30,35,23,7,1,14,28
,,,,,57-25,8220,7873,,3069,6463,.475,645,1768,.365,2424,4695,.516,.525,1437,1850,.777,780,2618,3398,1954,557,352,1145,1575,2996,6656,.450,508,1480,.343,2488,5176,.481,.488,1373,1830,.750,880,2459,3339,1689,623,303,1114,1650
