Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
16,16,2004-12-01,,PHI,W,105,72,,38,72,.528,7,23,.304,31,49,.633,.576,22,29,.759,6,38,44,28,11,7,19,16,28,80,.350,3,8,.375,25,72,.347,.369,13,15,.867,9,28,37,10,8,2,18,24
17,17,2004-12-03,,DET,W,80,77,,31,72,.431,4,12,.333,27,60,.450,.458,14,23,.609,10,39,49,18,5,4,23,22,27,76,.355,5,12,.417,22,64,.344,.388,18,27,.667,9,31,40,19,13,9,14,23
18,18,2004-12-04,@,MIL,W,104,83,,43,75,.573,4,14,.286,39,61,.639,.600,14,16,.875,7,25,32,28,6,7,14,19,32,72,.444,1,8,.125,31,64,.484,.451,18,24,.750,8,21,29,18,9,3,15,20
19,19,2004-12-06,@,CHI,W,91,75,,33,79,.418,10,19,.526,23,60,.383,.481,15,20,.750,13,38,51,25,7,3,21,18,30,77,.390,3,12,.250,27,65,.415,.409,12,15,.800,8,30,38,19,8,7,17,20
20,20,2004-12-08,,SEA,L,96,102,,33,80,.413,5,16,.313,28,64,.438,.444,25,33,.758,13,24,37,16,5,9,14,29,33,70,.471,9,22,.409,24,48,.500,.536,27,31,.871,8,30,38,10,7,6,17,29
21,21,2004-12-09,@,HOU,L,80,81,,26,77,.338,5,13,.385,21,64,.328,.370,23,26,.885,12,30,42,19,6,12,16,16,29,82,.354,5,14,.357,24,68,.353,.384,18,19,.947,14,31,45,11,11,6,17,24
22,22,2004-12-11,,CLE,W,116,97,,43,65,.662,7,14,.500,36,51,.706,.715,23,30,.767,6,27,33,33,7,7,16,21,40,86,.465,1,7,.143,39,79,.494,.471,16,20,.800,9,19,28,22,9,1,12,26
23,23,2004-12-15,,ORL,W,94,91,,36,78,.462,6,16,.375,30,62,.484,.500,16,22,.727,11,33,44,21,6,6,17,18,31,78,.397,5,8,.625,26,70,.371,.429,24,26,.923,11,26,37,16,5,7,16,25
24,24,2004-12-17,@,NOH,W,83,67,,32,75,.427,5,17,.294,27,58,.466,.460,14,27,.519,16,29,45,24,7,6,10,17,29,76,.382,0,7,.000,29,69,.420,.382,9,11,.818,13,21,34,16,2,2,13,25
25,25,2004-12-18,,GSW,W,104,85,,43,83,.518,4,11,.364,39,72,.542,.542,14,22,.636,12,34,46,30,8,7,15,19,33,79,.418,3,13,.231,30,66,.455,.437,16,23,.696,13,26,39,9,8,6,17,20
26,26,2004-12-22,@,ORL,L,87,93,,35,89,.393,4,12,.333,31,77,.403,.416,13,26,.500,16,35,51,15,6,6,11,20,33,77,.429,3,8,.375,30,69,.435,.448,24,30,.800,7,37,44,15,8,9,12,19
27,27,2004-12-23,,MIN,W,96,82,,37,81,.457,6,10,.600,31,71,.437,.494,16,19,.842,11,28,39,22,11,5,10,19,29,71,.408,5,13,.385,24,58,.414,.444,19,23,.826,12,31,43,16,5,4,19,19
28,28,2004-12-26,,BOS,W,107,90,,42,80,.525,9,22,.409,33,58,.569,.581,14,18,.778,11,29,40,27,10,4,15,18,36,75,.480,6,14,.429,30,61,.492,.520,12,19,.632,7,25,32,19,8,6,16,16
29,29,2004-12-28,,PHO,W,115,94,,47,91,.516,6,23,.261,41,68,.603,.549,15,23,.652,19,33,52,25,5,11,12,27,31,78,.397,4,12,.333,27,66,.409,.423,28,34,.824,12,27,39,17,8,3,16,21
30,30,2004-12-30,@,POR,W,114,80,,47,87,.540,7,15,.467,40,72,.556,.580,13,20,.650,15,34,49,34,6,7,8,17,30,76,.395,4,6,.667,26,70,.371,.421,16,25,.640,12,27,39,21,4,3,14,20
31,31,2004-12-31,@,LAC,W,98,79,,37,75,.493,7,21,.333,30,54,.556,.540,17,20,.850,3,36,39,24,8,3,7,15,32,77,.416,4,10,.400,28,67,.418,.442,11,17,.647,9,32,41,18,2,2,14,23
32,32,2005-01-02,@,SAC,L,81,86,,34,88,.386,4,18,.222,30,70,.429,.409,9,18,.500,13,31,44,20,15,5,13,22,34,77,.442,7,15,.467,27,62,.435,.487,11,14,.786,10,37,47,23,9,8,20,21
33,33,2005-01-04,,LAL,W,100,83,,40,86,.465,15,30,.500,25,56,.446,.552,5,7,.714,11,32,43,30,4,7,12,21,31,76,.408,2,14,.143,29,62,.468,.421,19,23,.826,9,34,43,15,6,2,14,11
